edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
0,N1,N2,82,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
1,N2,N1,82,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
2,N2,N3,53,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
3,N2,N5,115,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
4,N2,T_3,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
5,N3,N2,53,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
6,N3,N4,83,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
7,N3,TYGY,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
8,N3,T_3,50,99.0,9999.0,184.3,65.8,13.2,51.3,0.0051,A,10395.1
9,N4,N3,83,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
10,N4,N5,144,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
11,N4,N14,73,6.0,600.0,1562.3,1217.5,228.0,749.4,1.2491,F,1707288.6
12,N4,N7,354,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
13,N4,TYGY,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
14,N4,T_3,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
15,N4,T_4,50,99.0,9999.0,881.9,609.5,115.0,386.0,0.0386,A,476898.3
16,N5,N2,115,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
17,N5,N4,144,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
18,N5,N6,52,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
19,N5,T_3,50,99.0,9999.0,177.2,106.3,20.2,69.9,0.0070,A,16523.0
20,N6,N5,52,6.0,600.0,177.2,106.3,20.2,69.9,0.1164,A,16523.0
21,N6,N14,183,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
22,N6,N26,113,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
23,N6,N17,55,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
24,N6,T_2,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
25,N7,N4,354,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
26,N7,N8,78,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
27,N7,TYGY,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
28,N8,N7,78,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
29,N8,N9,84,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
30,N9,N8,84,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
31,N9,N10,40,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
32,N10,N9,40,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
33,N10,N11,121,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
34,N10,N14,232,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
35,N11,N10,121,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
36,N11,N12,110,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
37,N11,N15,229,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
